T001	/Physical Object/Organism
T081	/Conceptual Entity/Idea or Concept/Quantitative Concept
T082	/Conceptual Entity/Idea or Concept/Spatial Concept
T083	/Conceptual Entity/Idea or Concept/Spatial Concept/Geographic Area
T085	/Conceptual Entity/Idea or Concept/Spatial Concept/Molecular Sequence
T086	/Conceptual Entity/Idea or Concept/Spatial Concept/Molecular Sequence/Nucleotide Sequence
T087	/Conceptual Entity/Idea or Concept/Spatial Concept/Molecular Sequence/Amino Acid Sequence
T088	/Conceptual Entity/Idea or Concept/Spatial Concept/Molecular Sequence/Carbohydrate Sequence
T089	/Conceptual Entity/Intellectual Product/Regulation or Law
T090	/Conceptual Entity/Occupation or Discipline
T091	/Conceptual Entity/Occupation or Discipline/Biomedical Occupation or Discipline
T092	/Conceptual Entity/Organization
T093	/Conceptual Entity/Organization/Health Care Related Organization
T094	/Conceptual Entity/Organization/Professional Society
T095	/Conceptual Entity/Organization/Self-help or Relief Organization
T096	/Conceptual Entity/Group
T097	/Conceptual Entity/Group/Professional or Occupational Group
T098	/Conceptual Entity/Group/Population Group
T099	/Conceptual Entity/Group/Family Group
T100	/Conceptual Entity/Group/Age Group
T101	/Conceptual Entity/Group/Patient or Disabled Group
T102	/Conceptual Entity/Group Attribute
T103	/Physical Object/Substance/Chemical
T104	/Physical Object/Substance/Chemical/Chemical Viewed Structurally
T109	/Physical Object/Substance/Chemical/Chemical Viewed Structurally/Organic Chemical
T114	/Physical Object/Substance/Chemical/Chemical Viewed Structurally/Organic Chemical/Nucleic Acid, Nucleoside, or Nucleotide
T116	/Physical Object/Substance/Chemical/Chemical Viewed Structurally/Organic Chemical/Amino Acid, Peptide, or Protein
T120	/Physical Object/Substance/Chemical/Chemical Viewed Functionally
T121	/Physical Object/Substance/Chemical/Chemical Viewed Functionally/Pharmacologic Substance
T122	/Physical Object/Substance/Chemical/Chemical Viewed Functionally/Biomedical or Dental Material
T123	/Physical Object/Substance/Chemical/Chemical Viewed Functionally/Biologically Active Substance
T125	/Physical Object/Substance/Chemical/Chemical Viewed Functionally/Biologically Active Substance/Hormone
T126	/Physical Object/Substance/Chemical/Chemical Viewed Functionally/Biologically Active Substance/Enzyme
T127	/Physical Object/Substance/Chemical/Chemical Viewed Functionally/Biologically Active Substance/Vitamin
T129	/Physical Object/Substance/Chemical/Chemical Viewed Functionally/Biologically Active Substance/Immunologic Factor
T130	/Physical Object/Substance/Chemical/Chemical Viewed Functionally/Indicator, Reagent, or Diagnostic Aid
T131	/Physical Object/Substance/Chemical/Chemical Viewed Functionally/Hazardous or Poisonous Substance
T167	/Physical Object/Substance
T168	/Physical Object/Substance/Food
T169	/Conceptual Entity/Idea or Concept/Functional Concept
T170	/Conceptual Entity/Intellectual Product
T171	/Conceptual Entity/Language
T184	/Conceptual Entity/Finding/Sign or Symptom
T185	/Conceptual Entity/Intellectual Product/Classification
T190	/Physical Object/Anatomical Structure/Anatomical Abnormality
T191	/Phenomenon or Process/Natural Phenomenon or Process/Biologic Function/Pathologic Function/Disease or Syndrome/Neoplastic Process
T192	/Physical Object/Substance/Chemical/Chemical Viewed Functionally/Biologically Active Substance/Receptor
T194	/Physical Object/Organism/Archaeon
T195	/Physical Object/Substance/Chemical/Chemical Viewed Functionally/Pharmacologic Substance/Antibiotic
T196	/Physical Object/Substance/Chemical/Chemical Viewed Structurally/Element, Ion, or Isotope
T197	/Physical Object/Substance/Chemical/Chemical Viewed Structurally/Inorganic Chemical
T200	/Physical Object/Manufactured Object/Clinical Drug
T201	/Conceptual Entity/Organism Attribute/Clinical Attribute
T203	/Physical Object/Manufactured Object/Medical Device/Drug Delivery Device
T204	/Physical Object/Organism/Eukaryote
